id,Stamp,x_global,y_global,vx_global,vy_global,v
1,15.510011434555054,3851.5754,2494.7764,-8.8883,10.0954,48.42220519067672
2,15.600025653839111,3821.0515,2522.1745,-5.4409,5.7978,28.62348152031824
1,15.600025653839111,3850.7805,2495.6169,-8.8056,9.7713,47.35291923258798
2,15.699988603591919,3820.658,2522.8521,-5.2031,6.0964,28.85357724281688
1,15.699988603591919,3849.944,2496.6194,-8.8349,10.092,48.28617637843775
2,15.800015687942505,3820.0228,2523.3997,-5.4616,5.7355,28.511689727857238
1,15.800015687942505,3848.9851,2497.6402,-8.8761,9.8384,47.702277559663756
2,15.90001368522644,3819.4604,2524.0749,-5.6946,6.0689,29.960137051675854
1,15.90001368522644,3848.0748,2498.6705,-9.2675,10.3522,50.0198723521602
2,16.010007619857788,3818.8494,2524.7387,-5.8193,6.0923,30.329945899536316
1,16.010007619857788,3847.0588,2499.7574,-9.4838,10.4015,50.67358576598266
2,16.110008478164673,3818.22,2525.5072,-5.7318,6.0948,30.119786402111153
1,16.110008478164673,3846.0713,2500.8851,-8.8707,9.9071,47.87322568768476
2,16.21000576019287,3817.7469,2526.0622,-5.6822,6.0737,29.942225731378088
1,16.21000576019287,3845.2191,2501.778,-9.0801,9.9321,48.44573201431887
2,16.300009965896606,3817.206,2526.5684,-5.6453,5.7325,28.964000926778052
1,16.300009965896606,3844.4143,2502.6804,-8.6298,9.5263,46.27419327120464
2,16.400025844573975,3816.7345,2527.3004,-5.6465,6.2861,30.419044698372762
1,16.400025844573975,3843.5312,2503.6617,-9.1357,10.1091,49.05188812072375
2,16.510022163391113,3816.1567,2528.0474,-5.6816,6.4459,30.932821752876027
1,16.510022163391113,3842.5061,2504.7213,-9.3762,10.0701,49.53370291258266
2,16.610010623931885,3815.4226,2528.6819,-6.0018,6.1886,31.035335291760585
1,16.610010623931885,3841.6373,2505.8087,-8.7232,9.9784,47.71360806948056
2,16.71003222465515,3814.9192,2529.3772,-5.8872,6.4243,31.36977169373089
1,16.71003222465515,3840.6913,2506.8306,-9.165,10.2595,49.52513670490976
2,16.82001042366028,3814.2298,2529.9484,-6.1179,6.1253,31.166104769123784
1,16.82001042366028,3839.7385,2507.8829,-9.1614,10.1989,49.353992672966186
2,16.90000891685486,3813.5847,2530.5652,-6.1611,6.0145,30.996264136853654
1,16.90000891685486,3839.0201,2508.7067,-8.2185,9.2429,44.52589422879231
2,17.010030031204224,3813.1381,2531.2655,-5.936,6.4188,31.474190682881744
1,17.010030031204224,3838.2907,2509.527,-8.2185,9.2429,44.52589422879231
2,17.110004901885986,3812.5678,2531.8396,-5.8258,6.1173,30.411223452745208
1,17.110004901885986,3837.4285,2510.4967,-8.2185,9.2429,44.52589422879231
2,17.200028657913208,3812.0173,2532.5232,-5.8221,6.3219,30.93974714730552
1,17.200028657913208,3836.2746,2511.732,-9.1795,10.1562,49.28341078113811
2,17.310048818588257,3811.3964,2533.0313,-6.0442,6.0636,30.821466510469616
1,17.310048818588257,3835.4103,2512.6883,-9.1795,10.1562,49.28341078113811
2,17.410027742385864,3810.8561,2533.6794,-5.8611,6.0858,30.41722102454463
1,17.410027742385864,3834.4628,2513.7365,-9.1795,10.1562,49.28341078113811
2,17.51001238822937,3810.0994,2534.322,-6.2927,6.0866,31.51692015625893
1,17.51001238822937,3833.5156,2514.7845,-9.1795,10.1562,49.28341078113811
2,17.60000205039978,3809.632,2535.083,-5.996,6.5231,31.896660184815595
1,17.60000205039978,3832.6402,2515.7531,-9.1795,10.1562,49.28341078113811
2,17.710011959075928,3809.0845,2535.7369,-5.9693,6.5743,31.96791141474213
1,17.710011959075928,3831.7642,2516.7223,-9.1795,10.1562,49.28341078113811
2,17.82001304626465,3808.3594,2536.3195,-6.0433,6.0951,30.899603184248175
1,17.82001304626465,3830.7072,2517.8918,-9.1795,10.1562,49.28341078113811
2,17.900026559829712,3807.7679,2537.0305,-6.0244,6.3313,31.46217833284911
1,17.900026559829712,3829.7836,2518.9137,-9.1795,10.1562,49.28341078113811
2,18.00001358985901,3807.3035,2537.6779,-5.7718,6.4558,31.17504986820069
1,18.00001358985901,3828.9223,2519.8666,-9.1795,10.1562,49.28341078113811
2,18.10000514984131,3806.5491,2538.3149,-6.3456,6.5233,32.761994230510446
1,18.10000514984131,3828.0632,2520.8171,-9.1795,10.1562,49.28341078113811
2,18.21001648902893,3805.9687,2539.0605,-6.2372,6.7449,33.07229300269336
1,18.21001648902893,3827.1446,2521.8335,-9.1795,10.1562,49.28341078113811
2,18.30001449584961,3805.3403,2539.7173,-5.8754,6.2606,30.90877011883844
1,18.30001449584961,3826.0301,2523.0666,-9.1795,10.1562,49.28341078113811
2,18.4000301361084,3804.7578,2540.3549,-6.1184,6.5376,32.234584204968435
1,18.4000301361084,3825.2769,2523.8999,-9.1795,10.1562,49.28341078113811
2,18.50000834465027,3804.2024,2540.9502,-6.2179,6.6204,32.69703375456557
1,18.50000834465027,3824.4944,2524.7656,-9.1795,10.1562,49.28341078113811
2,18.61003804206848,3803.4492,2541.7887,-6.1316,6.5561,32.31568344286099
1,18.61003804206848,3823.9915,2525.3633,-8.5691,9.5184,46.10662856114293
2,18.70002031326294,3802.7331,2542.3038,-6.5454,6.2738,32.63967900724516
1,18.70002031326294,3823.1963,2526.2465,-8.5691,9.5184,46.10662856114293
2,18.800018787384033,3802.2454,2542.9434,-6.4235,6.6017,33.15984898961997
1,18.800018787384033,3822.5003,2527.0197,-8.5691,9.5184,46.10662856114293
2,18.91004228591919,3801.5282,2543.7491,-6.4738,6.7689,33.71877954054684
1,18.91004228591919,3821.5482,2528.0772,-8.5691,9.5184,46.10662856114293
2,19.0000216960907,3800.969,2544.456,-6.2601,6.8067,33.291731991952595
1,19.0000216960907,3820.6865,2529.0344,-8.5691,9.5184,46.10662856114293
2,19.110009908676147,3800.4197,2545.098,-6.1138,6.7093,32.67746333197851
1,19.110009908676147,3819.8409,2529.9736,-8.5691,9.5184,46.10662856114293
2,19.210007190704346,3799.6569,2545.8832,-6.4691,6.9151,34.08952188205637
1,19.210007190704346,3819.0514,2530.8653,-8.3908,9.3462,45.21648426046413
2,19.300008058547974,3799.1145,2546.531,-6.1728,6.7186,32.84554571883378
1,19.300008058547974,3818.3528,2531.642,-7.6577,8.5236,41.24979946860348
